order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDJ04859,2018-05-03,12:03:22,Lunch,TP,"[('Burger', 3), ('Salad', 2), ('Chicken', 7), ('Steak', 9), ('Fries', 10)]",876.4,-37.799906799999995,145.0000316,0,11.972999999999999,15.0606791
ORDX07806,2018-04-07,11:12:40,Breakfast,BK,"[('Pancake', 5), ('Eggs', 7), ('Cereal', 4), ('Coffee', 1)]",366.75,-37.816741,145.0088132,0,3.867,10.5528121
ORDJ08999,2018-03-09,10:11:49,Breakfast,TP,"[('Eggs', 9), ('Pancake', 5), ('Cereal', 9)]",508.25,-37.8048255,144.9371377,0,10.765,12.2055475
ORDB01607,2018-09-17,16:37:10,Dinner,TP,"[('Shrimp', 7), ('Fish&Chips', 4)]",518.0,-37.8061109,144.9806426,0,9.805,14.0505323
ORDJ04378,2018-02-11,09:21:07,Breakfast,TP,"[('Coffee', 9), ('Eggs', 5), ('Pancake', 7)]",347.25,-37.8111324,144.9699786,0,8.767999999999999,12.4685359
ORDK05473,2018-05-20,12:33:48,Lunch,BK,"[('Chicken', 4), ('Burger', 10)]",438.0,-37.802124,144.9569967,0,8.217,16.733465300000002
ORDZ05017,2018-10-17,17:38:01,Dinner,NS,"[('Pasta', 9), ('Fish&Chips', 8), ('Shrimp', 3)]",689.5,-37.8246811,145.00571580000002,0,11.159,16.99326
ORDC04028,2018-05-29,12:54:05,Lunch,NS,"[('Fries', 6), ('Chicken', 7), ('Burger', 9), ('Salad', 1)]",592.2,-37.81806829999999,145.0106825,0,11.015,16.6414543
ORDA00885,2018-09-02,16:06:45,Dinner,BK,"[('Pasta', 8), ('Shrimp', 7), ('Fish&Chips', 9)]",913.0,-37.8134366,144.9656478,0,7.487,16.781854100000004
ORDZ08301,2018-08-24,15:46:28,Lunch,NS,"[('Fries', 7), ('Salad', 6), ('Chicken', 9)]",475.2,-37.8179401,144.96929680000002,0,8.571,13.708592300000001
ORDJ02530,2018-12-03,19:09:17,Dinner,TP,"[('Fish&Chips', 8), ('Shrimp', 2), ('Salmon', 5), ('Pasta', 2)]",648.0,-37.8151473,145.0143033,0,12.493,16.09342805101715
ORDI10443,2018-04-28,11:53:14,Breakfast,NS,"[('Coffee', 6), ('Eggs', 9)]",243.0,-37.822304200000005,144.96834840000002,0,8.899,15.755930800000002
ORDK00988,2018-12-04,19:09:17,Dinner,BK,"[('Shrimp', 5), ('Pasta', 3)]",352.5,-37.810693,145.01109259999998,0,4.013999999999999,10.2117628
ORDK10091,2018-12-09,19:19:26,Dinner,BK,"[('Pasta', 4), ('Fish&Chips', 10)]",460.0,-37.822251200000004,144.9497707,0,9.082,18.2993023
ORDA07082,2018-05-23,12:43:56,Lunch,NS,"[('Salad', 1), ('Steak', 5)]",242.2,-37.8145963,144.98489919999997,0,8.739,11.7248803
ORDZ01624,2018-01-23,08:40:33,Breakfast,NS,"[('Eggs', 5), ('Cereal', 7), ('Pancake', 10), ('Coffee', 2)]",514.5,-37.814941999999995,144.96060269999998,0,8.294,13.140889199999998
ORDC05287,2018-06-20,13:34:38,Lunch,NS,"[('Chicken', 6), ('Steak', 5), ('Fries', 6), ('Burger', 1), ('Salad', 9)]",674.8,-37.8209749,144.957758,0,9.265,14.750027118243286
ORDY05560,2018-11-28,18:59:09,Dinner,TP,"[('Shrimp', 4), ('Pasta', 5), ('Fish&Chips', 9), ('Salmon', 9)]",1037.5,-37.8094472,144.9725884,0,9.1,13.3311755
ORDB05091,2018-11-07,18:18:35,Dinner,BK,"[('Fish&Chips', 2), ('Shrimp', 10)]",610.0,-37.8123565,144.9624458,0,7.657,12.1086071
ORDC08141,2018-08-28,15:56:37,Lunch,NS,"[('Burger', 4), ('Fries', 6), ('Salad', 1)]",213.2,-37.8093973,144.9378374,0,10.201,16.407593
ORDK02449,2018-11-26,18:59:09,Dinner,BK,"[('Fish&Chips', 2), ('Salmon', 4), ('Pasta', 7)]",426.5,-37.8255027,144.9653719,0,8.437999999999999,15.642541
ORDZ08347,2018-07-09,14:15:12,Lunch,NS,"[('Steak', 1), ('Chicken', 10), ('Burger', 2), ('Salad', 3)]",478.6,-37.80660820000001,144.942918,0,9.222000000000001,14.977425400000001
ORDC07253,2018-12-26,19:49:51,Dinner,NS,"[('Shrimp', 6), ('Salmon', 2)]",406.0,-37.8189026,144.9471781,0,9.626,15.529323399999999
ORDK10859,2018-08-09,15:16:03,Lunch,BK,"[('Chicken', 2), ('Fries', 7)]",148.0,-37.8052479,144.94095769999998,0,9.498,15.473483499999999
ORDC09887,2018-07-12,14:25:21,Lunch,NS,"[('Chicken', 3), ('Steak', 9), ('Burger', 4), ('Salad', 10), ('Fries', 3)]",833.0,-37.8276311,144.98347569999999,0,9.807,15.1484582
ORDK07713,2018-03-06,10:01:41,Breakfast,BK,"[('Cereal', 1), ('Eggs', 8), ('Coffee', 2)]",212.0,-37.824052,144.9848675,0,6.6610000000000005,11.363394699999999
ORDC05746,2018-05-13,12:23:39,Lunch,NS,"[('Salad', 4), ('Steak', 10), ('Chicken', 5), ('Fries', 9), ('Burger', 1)]",817.8,-37.808507399999996,144.9593706,0,7.707000000000001,15.185044400000002
ORDI00673,2018-03-27,10:42:15,Breakfast,NS,"[('Pancake', 4), ('Eggs', 2), ('Cereal', 5)]",246.0,-37.8124859,144.95385100000001,0,8.35,13.7274509
ORDC06410,2018-05-30,12:54:05,Lunch,NS,"[('Chicken', 1), ('Fries', 10), ('Steak', 3), ('Burger', 5), ('Salad', 5)]",528.0,-37.817384600000004,144.95267230000002,0,9.039,14.791696300000002
ORDC00877,2018-03-21,10:32:06,Breakfast,NS,"[('Eggs', 8), ('Pancake', 3), ('Coffee', 2)]",263.75,-37.8160186,144.96109750000002,0,8.408,13.539532500000002
